S005708.BestBees,Common Name
0.1363,Sorrels
0.0545,Japanese Chinquapin
0.0496,Indian goosegrass
0.0338,Redosier Dogwood
0.0318,Grasses
0.0146,Wetland Grasses
0.0138,European Dogwood
0.0122,Oak
0.0112,Rose Family
